Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.02434493415057659,97.95885450070396,7.351664985789947,1.2740330394011813e+17,7.4,0.0,0.0
avg_last_24_hours,Test,0.02794656902551651,112.45106634456995,8.506503223751151,9.849638876594845e+16,8.5,0.0,
last_day,Train,0.041652828454971313,167.6021443655911,9.062508060765873,1.0823528656233048e+17,9.1,0.0,0.0
last_day,Test,0.046713344752788544,187.9645593665867,10.835831448365653,1.0354934511178363e+17,10.8,0.0,
no-change,Train,0.07611478865146637,306.26973567735854,12.249117608218217,94.42119944211994,12.2,0.0,0.0
no-change,Test,0.12438078969717026,500.4818739005207,18.71335274124748,97.48427672955975,18.7,0.0,
MLP,Train,0.039442215114831924,158.70707835412935,10.671763082704715,3.4730743966424474e+17,10.7,157.0,9.0
MLP,Test,0.043293628841638565,174.20437635998144,11.21223791667693,1.5661599637689542e+17,11.2,157.0,
CNN,Train,0.002248496748507023,9.047473180178688,2.164197686431907,2.838119477552489e+16,2.2,275.0,20.0
CNN,Test,0.0025651310570538044,10.321543232045212,2.32394410362638,5390983903518255.0,2.3,275.0,
LSTM,Train,0.0024697212502360344,9.937634417618435,2.227360057060624,2.8545583716009756e+16,2.2,43.0,33.0
LSTM,Test,0.0026826709508895874,10.794498819421383,2.306921715000211,9604381586662332.0,2.3,43.0,
GRU,Train,0.002357380697503686,9.485599357058998,2.2120907857703176,2.9546687957409544e+16,2.2,33.0,98.0
GRU,Test,0.0026798034086823463,10.782960371873225,2.3380914137080593,9597754327004796.0,2.3,33.0,
